CICompoundList,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,SMILES,CAS
Zinc bis(trifluoromethylsulfonyl)imide,168106-25-0,,625.65,C4F12N2O8S4Zn,[Zn;v0++].FC(F)(F)S(=O)(=O)[#7-]S(=O)(=O)C(F)(F)F.FC(F)(F)S(=O)(=O)[#7-]S(=O)(=O)C(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Zn+2],168106-25-0
Zinc acetate,557-34-6,,183.47,C4H6O4Zn,CC(=O)O[Zn]OC(C)=O,CC(=O)[O-].CC(=O)[O-].[Zn+2],557-34-6
ZINC,7440-66-6,,65.38,Zn,[Zn],[Zn],7440-66-6
ZBC,136-23-2,,474.12,C18H36N2S4Zn,CCCCN(CCCC)C(=S)S[Zn]SC(=S)N(CCCC)CCCC,,
zalcitabine,,,211.221,C9H13N3O3,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1 |r|,,7481-89-2
Zalcitabine,7481-89-2,,211.221,C9H13N3O3,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1 |r|,,7481-89-2
Z-TYR-OH,1164-16-5,,315.325,C17H17NO5,OC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OCc1ccccc1 |r|,,1164-16-5
Z-DL-ALA-OH,4132-86-9,,223.228,C11H13NO4,CC(NC(=O)OCc1ccccc1)C(O)=O,,4132-86-9
Yttrium(III)trifluoromethane sulfonate,52093-30-8,,0,,,,
YTTRIUM NITRATE HEXAHYDRATE,13494-98-9,,383.008,H12N3O15Y,O.O.O.O.O.O.[Y+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Y+3],13494-98-9
Yttrium chloride,10361-92-9,,0,,,[Cl-].[Cl-].[Cl-].[Y+3],10361-92-9
YTTERBIUM(III) TRIFLUOROMETHANESULFONATE HYDRATE,54761-04-5,,620.24,C3F9O9S3Yb,FC(F)(F)S(=O)(=O)O[Yb](OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F,O.O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Yb+3],252976-51-5
"Xylenes, mixed, 97+%",1330-20-7,,122.211,C9H14,CC.Cc1ccccc1,,
Xylene Cyanole FF,2650-17-1,,538.61,C25H27N2NaO6S2,"[Na+].CCNc1ccc(cc1C)C(=C1/C=C\C(=N/CC)\C(C)=C1)\c1ccc(cc1S(O)(=O)=O)S([O-])(=O)=O |c:13,20|",,2650-17-1
Xphos Pd,1310584-14-5,,786.82,C45H59ClNPPd,[Cl-].[Pd;v0++].[#7]-c1ccccc1-c1cccc[c-]1.[#6]-[#6](-[#6])-c1cc(-[#6](-[#6])-[#6])c(-c2cccc(c2)-[#15](-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2)-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2)c(c1)-[#6](-[#6])-[#6],,
"Xanthone, 99%",90-47-1,,196.205,C13H8O2,O=c1c2ccccc2oc2ccccc12,,
"Xanthene, 98%",92-83-1,,182.222,C13H10O,C1c2ccccc2Oc2ccccc12,,
X-PHOS,564483-18-7,,476.729,C33H49P,CC(C)c1cc(C(C)C)c(c(c1)C(C)C)-c1ccccc1P(C1CCCCC1)C1CCCCC1,,564483-18-7
White waxy crystalline flakes,25322-68-3,,0,,,,
white to off-white crystalline powder,75640-87-8,,314.384,C22H18O2,COc1ccc2ccccc2c1-c1c(OC)ccc2ccccc12,,
WHITE CRYSTALLINE POWDER,280-64-8,,122.02,C8H15B,[H][C@]12B[C@]([H])(CCC1)CCC2 |r|,,
White cryst. powder,1303-96-4,,381.36,B4H20Na2O17,"O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[O-]B1OB2OB([O-])OB(O1)O2 |TLB:12:13:16.17.19:22,THB:18:17:14.13.21:22|",,
water O18,14314-42-2,,0,,,,
Water,7732-18-5,,18.015,H2O,O,O,7732-18-5
VITAMIN B12,68-19-9,,1355.388,C63H88CoN14O14P,"[Co;v0+3].[C-]#N.[#6]-[#6](-[#6]-[#7]-[#6](=O)-[#6]-[#6]C1([#6])[#6](-[#6]-[#6](-[#7])=O)-[#6]2-[#7]=[#6]1\[#6](-[#6])=[#6]-1/[#7]=[#6](/[#6]=[#6]-3\[#7]=[#6](\[#6](\[#6])=[#6]-4/[#7-]C2([#6])C([#6])([#6]-[#6](-[#7])=O)[#6]-4-[#6]-[#6]-[#6](-[#7])=O)C([#6])([#6]-[#6](-[#7])=O)[#6]-3-[#6]-[#6]-[#6](-[#7])=O)C([#6])([#6])[#6]-1-[#6]-[#6]-[#6](-[#7])=O)-[#8]P([#8-])(=O)[#8]-[#6]-1-[#6](-[#6]-[#8])-[#8]-[#6](-[#6]-1-[#8])-n1cnc2cc(-[#6])c(-[#6])cc12 |c:17,21,25,30,t:23,27|",,68-19-9
VINYLTRIPHENYLPHOSPHONIUM BROMIDE,5044-52-0,,369.242,C20H18BrP,[Br-].C=C[P+](c1ccccc1)(c1ccccc1)c1ccccc1,C=C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],5044-52-0
Vinyltrimethylsilane,754-05-2,,100.236,C5H12Si,C[Si](C)(C)C=C,C=C[Si](C)(C)C,754-05-2
Vinyltrimethoxysilane,2768-02-7,,148.233,C5H12O3Si,CO[Si](OC)(OC)C=C,C=C[Si](OC)(OC)OC,2768-02-7
Vinylphenyldimethylsilane,1125-26-4,,162.307,C10H14Si,C[Si](C)(C=C)c1ccccc1,C=C[Si](C)(C)c1ccccc1,1125-26-4
VINYLOXYTRIMETHYLSILANE,6213-94-1,,116.235,C5H12OSi,C[Si](C)(C)OC=C,C=CO[Si](C)(C)C,6213-94-1
Vinylmagnesium bromide,1826-67-1,,131.255,C2H3BrMg,Br[Mg]C=C,C=[CH][Mg][Br],1826-67-1
Vinylimidazole,1072-63-5,,94.117,C5H6N2,C=Cn1ccnc1,C=Cc1ncc[nH]1,43129-93-7
vinylcyclohexane,695-12-5,,110.2,C8H14,C=CC1CCCCC1,C=CC1CCCCC1,695-12-5
"Vinylacetic acid, tech., 90%, unstabilized",625-38-7,,86.09,C4H6O2,OC(=O)CC=C,,
Vinyl bromide,593-60-2,,106.95,C2H3Br,BrC=C,C=CBr,593-60-2
Vinyl acetate,108-05-4,,86.09,C4H6O2,CC(=O)OC=C,C=COC(C)=O,108-05-4
Veratraldehyde,120-14-9,,166.176,C9H10O3,COc1ccc(C=O)cc1OC,COc1ccc(C=O)cc1OC,120-14-9
"Vanillin, 99%, pure",121-33-5,,152.149,C8H8O3,COc1cc(C=O)ccc1O,,
VANADYL SULFATE,123334-20-3,,163,O5SV,O=[V++].[O-]S([O-])(=O)=O,,27774-13-6
Vanadyl acetylacetonate,3153-26-2,,265.159,C10H14O5V,CC(=O)\C=C(\C)O[V](=O)O\C(C)=C/C(C)=O,,3153-26-2
VANADIUM(V) TRICHLORIDE OXIDE,7727-18-6,,173.29,Cl3OV,Cl[V](Cl)(Cl)=O,,7727-18-6
Vanadium pentoxide,1314-62-1,,181.878,O5V2,O=[V](=O)O[V](=O)=O,[O-2].[O-2].[O-2].[O-2].[O-2].[V+5].[V+5],
Vanadium dichloride,10580-52-6,,0,,,[Cl-].[Cl-].[V+2],
Valeryl chloride,638-29-9,,120.58,C5H9ClO,CCCCC(Cl)=O,CCCCC(=O)Cl,638-29-9
"Valerophenone, 98%",1009-14-9,,162.232,C11H14O,CCCCC(=O)c1ccccc1,,
Valeric acid,109-52-4,,102.133,C5H10O2,CCCCC(O)=O,CCCCC(=O)O,109-52-4
Valeraldehyde,110-62-3,,86.134,C5H10O,CCCCC=O,CCCCC=O,110-62-3
Urocanic acid,104-98-3,,138.126,C6H6N2O2,OC(=O)\C=C\c1c[nH]cn1,,104-98-3
Urea hydrogen peroxide,124-43-6,,94.07,CH6N2O3,OO.NC(N)=O,NC(N)=O.OO,124-43-6
Urea,57-13-6,,60.056,CH4N2O,NC(N)=O,NC(N)=O,57-13-6
"Uracil, 99+%",66-22-8,,112.088,C4H4N2O2,O=c1cc[nH]c(=O)[nH]1,,
"Undecylenic acid, 99%",112-38-9,,184.279,C11H20O2,OC(=O)CCCCCCCCC=C,,
ultra pure 0.5M EDTA pH 8.0,,,0,,,,
Ubidecarenone,303-98-0,,863.365,C59H90O4,"[#6]-[#8]-[#6]-1=[#6](-[#8]-[#6])-[#6](=O)-[#6](-[#6]\[#6]=[#6](/[#6])-[#6]-[#6]\[#6]=[#6](/[#6])-[#6]-[#6]\[#6]=[#6](/[#6])-[#6]-[#6]\[#6]=[#6](\[#6])-[#6]-[#6]\[#6]=[#6](/[#6])-[#6]-[#6]\[#6]=[#6](/[#6])-[#6]-[#6]\[#6]=[#6](/[#6])-[#6]-[#6]\[#6]=[#6](\[#6])-[#6]-[#6]\[#6]=[#6](/[#6])-[#6]-[#6]\[#6]=[#6](\[#6])-[#6])=[#6](-[#6])-[#6]-1=O |c:2,t:58|",,303-98-0
"Tyramine, 97%",51-67-2,,137.182,C8H11NO,NCCc1ccc(O)cc1,,
Tutocaine hydrochloride,532-62-7,,0,,,,532-62-7
TUNGSTEN(VI) CHLORIDE,13283-01-7,,396.54,Cl6W,Cl[W](Cl)(Cl)(Cl)(Cl)Cl,[Cl][W]([Cl])([Cl])([Cl])([Cl])[Cl],13283-01-7
Tungsten trioxide,1314-35-8,,231.84,O3W,O=[W](=O)=O,[O]=[W](=[O])=[O],1314-35-8
Tungsten tetrachloride oxide,13520-78-0,,0,,,[O]=[W]([Cl])([Cl])([Cl])[Cl],
TSNBOC ; N-(TERT-BUTOXYCARBONYL)-P-TOLUENESULFONAMIDE,18303-04-3,,271.33,C12H17NO4S,Cc1ccc(cc1)S(=O)(=O)NC(=O)OC(C)(C)C,,18303-04-3
"Tryptophol, 97%",526-55-6,,161.204,C10H11NO,OCCc1c[nH]c2ccccc12,,
Tryptamine,61-54-1,,160.22,C10H12N2,NCCc1c[nH]c2ccccc12,NCCc1c[nH]c2ccccc12,61-54-1
TROPYLIUM TETRAFLUOROBORATE,27081-10-3,,177.94,C7H7BF4,F[B-](F)(F)F.c1ccc[cH+]cc1,F[B-](F)(F)F.c1ccc[cH+]cc1,27081-10-3
Tropinone,532-2-41,,0,,,,532-24-1
Tropinone,532-24-1,,139.198,C8H13NO,CN1C2CCC1CC(=O)C2,,532-24-1
Tropine,120-29-6,,141.214,C8H15NO,[H][C@]12CC[C@]([H])(C[C@H](O)C1)N2C |r|,,7432-10-2
Tritylamine,5824-40-8,,259.352,C19H17N,NC(c1ccccc1)(c1ccccc1)c1ccccc1,NC(c1ccccc1)(c1ccccc1)c1ccccc1,5824-40-8
"Trityl tetrakis(pentafluorophenyl)borate, 97%",136040-19-2,,922.37,C43H15BF20,c1ccc(cc1)[C-](c1ccccc1)c1ccccc1.Fc1c(F)c(F)c(c(F)c1F)[B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,,
TRITON(R) X-100,9002-93-1,,250.382,C16H26O2,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,,
Trisodium phosphate,7601-54-9,,163.939,Na3O4P,[Na+].[Na+].[Na+].[O-]P([O-])([O-])=O,O=P([O-])([O-])[O-].[Na+].[Na+].[Na+],7601-54-9
Trisodium citrate dihydrate,6132-04-3,,294.098,C6H9Na3O9,O.O.[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,O.O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],6132-04-3
"TRIS[3,5-BIS(TRIFLUOROMETHYL)PHENYL]PHOSPHINE",175136-62-6,,670.281,C24H9F18P,FC(F)(F)c1cc(cc(c1)C(F)(F)F)P(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,175136-62-6
Tris[(2-(2-pyridinyl-kN)-5-(trifluoromethyl)phenyl-kC]iridium(III),500295-52-3,,0,,,,
Tris(triphenylphosphine)ruthenium(II) chloride,15529-49-4,,958.85,C54H45Cl2P3Ru,Cl[Ru]Cl.c1ccc(cc1)P(c1ccccc1)c1ccccc1.c1ccc(cc1)P(c1ccccc1)c1ccccc1.c1ccc(cc1)P(c1ccccc1)c1ccccc1,,15529-49-4
TRIS(TRIMETHYLSILYL)SILANE,1873-77-4,,248.663,C9H28Si4,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,1873-77-4
Tris(tetrabutylammonium) hydrogen pyrophosphate,76947-02-9,,902.362,C48H109N3O7P2,OP([O-])(=O)OP([O-])([O-])=O.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC,CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.O=P([O-])([O-])OP(=O)([O-])O,76947-02-9
Tris(pyrrolidinophosphine) oxide,6415-07-2,,257.318,C12H24N3OP,O=P(N1CCCC1)(N1CCCC1)N1CCCC1,,6415-07-2
TRIS(PYRIDIN-2-YLMETHYL)AMINE,16858-01-8,,290.37,C18H18N4,C(N(Cc1ccccn1)Cc1ccccn1)c1ccccn1,c1ccc(CN(Cc2ccccn2)Cc2ccccn2)nc1,16858-01-8
TRIS(PENTAFLUOROPHENYL)PHOSPHINE,1259-35-4,,532.148,C18F15P,Fc1c(F)c(F)c(P(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,Fc1c(F)c(F)c(P(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,1259-35-4
TRIS(PENTAFLUOROPHENYL)BORANE,1109-15-5,,511.98,C18BF15,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,1109-15-5
"tris(N,N-tetramethylene)phosphoric acid triamide",02-07-6415,,0,,,,6415-07-2
"Tris(hydroxymethyl)aminomethane, 99+%, for biochemistry",77-86-1,,121.136,C4H11NO3,NC(CO)(CO)CO,,
"Tris(dioxa-3,6-heptyl)amine, 95%",70384-51-9,,323.43,C15H33NO6,COCCOCCN(CCOCCOC)CCOCCOC,,
"Tris(dimethylamino)sulphonium difluoro(trimethyl)silicate, tech",59218-87-0,,275.48,C9H27F2N3SSi,C[Si-](C)(C)(F)F.CN(C)[S+](N(C)C)N(C)C,,59218-87-0
tris(dimethylamino)methane,5762-56-1,,0,,,CN(C)C(N(C)C)N(C)C,5762-56-1
Tris(dibenzylideneacetone)dipalladium,51364-51-3,,915.73,C51H42O3Pd2,[Pd].[Pd].O=C(\C=C\c1ccccc1)/C=C/c1ccccc1.O=C(\C=C\c1ccccc1)/C=C/c1ccccc1.O=C(\C=C\c1ccccc1)/C=C/c1ccccc1,,51364-51-3
TRIS(DIBENZYLIDENEACETONE)-DIPALLADIUM(0)-CHLOROFORM ADDUKT,52522-40-4,,916.74,C51H43O3Pd2,[H+].[Pd].[Pd].O=C(\C=C\c1ccccc1)/C=C/c1ccccc1.O=C(\C=C\c1ccccc1)/C=C/c1ccccc1.O=C(\C=C\c1ccccc1)/C=C/c1ccccc1 |$CHCl3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|,,
"Tris(acetonitrile)pentamethylcyclopentadienylruthenium (II) hexafluorophosphate, min. 98%",99604-67-8,,394.57,C18H35N3Ru,[#6-].[Ru;v0+4].[#6]C#[N-].[#6]C#[N-].[#6]\[#6]=[#7]/[#6-].[#6]-[#6]-1-[#6@@H](-[#6])-[#6](-[#6])-[#6](-[#6])-[#6@@H]-1-[#6] |r|,,
"Tris(6,6,7,7,8,8,8-heptafluoro-2,2-dimethyl-3,5-octanedionato)ytterbium",18323-96-1,,0,,,,18323-96-1
"Tris(6,6,7,7,8,8,8-heptafluoro-2,2-dimethyl-3,5-octanedionato)praseodymium, 99+%",17978-77-7,,0,,,,
TRIS(4-TRIFLUOROMETHYLPHENYL)PHOSPHINE,13406-29-6,,466.286,C21H12F9P,FC(F)(F)c1ccc(cc1)P(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F,FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1,13406-29-6
TRIS(4-METHOXYPHENYL)PHOSPHINE,855-38-9,,352.37,C21H21O3P,COc1ccc(cc1)P(c1ccc(OC)cc1)c1ccc(OC)cc1,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,855-38-9
Tris(4-methoxyphenyl)amine,13050-56-1,,335.403,C21H21NO3,COc1ccc(cc1)N(c1ccc(OC)cc1)c1ccc(OC)cc1,COc1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,13050-56-1
TRIS(4-FLUOROPHENYL)PHOSPHINE,18437-78-0,,316.263,C18H12F3P,Fc1ccc(cc1)P(c1ccc(F)cc1)c1ccc(F)cc1,Fc1ccc(P(c2ccc(F)cc2)c2ccc(F)cc2)cc1,18437-78-0
TRIS(4-CHLOROPHENYL)PHOSPHINE,1159-54-2,,365.62,C18H12Cl3P,Clc1ccc(cc1)P(c1ccc(Cl)cc1)c1ccc(Cl)cc1,Clc1ccc(P(c2ccc(Cl)cc2)c2ccc(Cl)cc2)cc1,1159-54-2
Tris(4-bromophenyl)amine,4316-58-9,,482.013,C18H12Br3N,Brc1ccc(cc1)N(c1ccc(Br)cc1)c1ccc(Br)cc1,Brc1ccc(N(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1,4316-58-9
TRIS(3-FLUOROPHENYL)PHOSPHINE,23039-94-3,,316.263,C18H12F3P,Fc1cccc(c1)P(c1cccc(F)c1)c1cccc(F)c1,Fc1cccc(P(c2cccc(F)c2)c2cccc(F)c2)c1,23039-94-3
TRIS(2-METHOXYPHENYL)PHOSPHINE,4731-65-1,,352.37,C21H21O3P,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,4731-65-1
"TRIS(2,6-DIMETHOXYPHENYL)PHOSPHINE",85417-41-0,,442.448,C24H27O6P,COc1cccc(OC)c1P(c1c(OC)cccc1OC)c1c(OC)cccc1OC,COc1cccc(OC)c1P(c1c(OC)cccc1OC)c1c(OC)cccc1OC,85417-41-0
"Tris(2,4,6-trimethoxyphenyl)phosphine",91608-15-0,,532.526,C27H33O9P,COc1cc(OC)c(P(c2c(OC)cc(OC)cc2OC)c2c(OC)cc(OC)cc2OC)c(OC)c1,COc1cc(OC)c(P(c2c(OC)cc(OC)cc2OC)c2c(OC)cc(OC)cc2OC)c(OC)c1,91608-15-0
"Tris(2,2,6,6-tetramethyl-3,5-heptanedionato)praseodymium(III), 99%",15492-48-5,,548.805,C33H56O6,CC(C)C(=O)\C=C(\OC(O\C(=C\C(=O)C(C)(C)C)C(C)(C)C)O\C(=C/C(=O)C(C)(C)C)C(C)(C)C)C(C)(C)C |$;;;;;;;;Pr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|,,
"TRIS(2,2,6,6-TETRAMETHYL-3,5-HEPTANEDIONATO)MANGANESE(III)",14324-99-3,,604.751,C33H57MnO6,[Mn;v0+3].[#6]C([#6])([#6])[#6](\[#8-])=[#6]\[#6](=O)C([#6])([#6])[#6].[#6]C([#6])([#6])[#6](\[#8-])=[#6]\[#6](=O)C([#6])([#6])[#6].[#6]C([#6])([#6])[#6](\[#8-])=[#6]\[#6](=O)C([#6])([#6])[#6],,14324-99-3
"Tris(2,2,6,6-tetramethyl-3,5-heptanedionato)europium(III)",15522-71-1,,701.777,C33H57EuO6,[Eu;v0+3].[#6]C([#6])([#6])[#6](\[#8-])=[#6]\[#6](=O)C([#6])([#6])[#6].[#6]C([#6])([#6])[#6](\[#8-])=[#6]\[#6](=O)C([#6])([#6])[#6].[#6]C([#6])([#6])[#6](\[#8-])=[#6]\[#6](=O)C([#6])([#6])[#6],,15522-71-1
"TRIS(2,2'-BIPYRIDYL)RUTHENIUM(II) CHLORIDE HEXAHYDRATE",50525-27-4,,748.62,C30H36Cl2N6O6Ru,O.O.O.O.O.O.[Cl-].[Cl-].[Ru++].c1ccc(nc1)-c1ccccn1.c1ccc(nc1)-c1ccccn1.c1ccc(nc1)-c1ccccn1,,
"Tris(2,2'-bipyridine)ruthenium bis(hexafluorophosphate)",60804-74-2,,859.56,C30H24F12N6P2Ru,[Ru;v0++].F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.c1ccc(nc1)-c1ccccn1.c1ccc(nc1)-c1ccccn1.c1ccc(nc1)-c1ccccn1,,60804-74-2
Tris(1-adamantyl)phosphine,897665-73-5,,436.664,C30H45P,C1C2CC3CC1CC(C2)(C3)P(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,C1C2CC3CC1CC(P(C14CC5CC(CC(C5)C1)C4)C14CC5CC(CC(C5)C1)C4)(C2)C3,897665-73-5
Triphosgene,32315-10-9,,296.73,C3Cl6O3,ClC(Cl)(Cl)OC(=O)OC(Cl)(Cl)Cl,O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,32315-10-9
Triphenylsulfonium chloride,4270-70-6,,298.83,C18H15ClS,[Cl-].c1ccc(cc1)[S+](c1ccccc1)c1ccccc1,[Cl-].c1ccc([S+](c2ccccc2)c2ccccc2)cc1,4270-70-6
Triphenylsilanol,791-31-1,,276.41,C18H16OSi,O[Si](c1ccccc1)(c1ccccc1)c1ccccc1,O[Si](c1ccccc1)(c1ccccc1)c1ccccc1,791-31-1
Triphenylsilane,789-25-3,,260.411,C18H16Si,c1ccc(cc1)[SiH](c1ccccc1)c1ccccc1,c1ccc([SiH](c2ccccc2)c2ccccc2)cc1,789-25-3
triphenylphspohine,,,0,,,,
Triphenylphosphoranimine,2240-47-3,,277.307,C18H16NP,N=P(c1ccccc1)(c1ccccc1)c1ccccc1,N=P(c1ccccc1)(c1ccccc1)c1ccccc1,2240-47-3
"TRIPHENYLPHOSPHINE, POLYMER-BOUND",39319-11-4,,0,,,,
"Triphenylphosphine, 99%",603-35-0,,262.292,C18H15P,c1ccc(cc1)P(c1ccccc1)c1ccccc1,,
"Triphenylphosphine oxide, 99%",791-28-6,,278.291,C18H15OP,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,,
TRIPHENYLPHOSPHINE DIBROMIDE,1034-39-5,,422.1,C18H15Br2P,BrP(Br)(c1ccccc1)(c1ccccc1)c1ccccc1,[Br-].[Br-].c1ccc(P(c2ccccc2)c2ccccc2)cc1,
Triphenylphosphine copper(I) hydride,33636-93-0,,326.846,C18H16CuP,[H-].[Cu;v0+].c1ccc(cc1)-[#15](-c1ccccc1)-c1ccccc1,[CuH].c1ccc(P(c2ccccc2)c2ccccc2)cc1,
"Triphenylmethyl mercaptan, 98%",3695-77-0,,276.4,C19H16S,SC(c1ccccc1)(c1ccccc1)c1ccccc1,,
"Triphenylmethyl chloride, 98%",76-83-5,,278.78,C19H15Cl,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,,
"Triphenylmethanol, 97%",76-84-6,,260.336,C19H16O,OC(c1ccccc1)(c1ccccc1)c1ccccc1,,
"Triphenylmethane, 99+%",519-73-3,,244.337,C19H16,c1ccc(cc1)C(c1ccccc1)c1ccccc1,,
Triphenylethylene,58-72-0,,256.348,C20H16,[#6](=[#6](\c1ccccc1)-c1ccccc1)\c1ccccc1,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,58-72-0
"Triphenylene, 98%",217-59-4,,228.294,C18H12,c1ccc2c(c1)c1ccccc1c1ccccc21,,
TRIPHENYLCARBENIUM TETRAFLUOROBORATE,341-02-6,,330.13,C19H15BF4,F[B-](F)(F)F.c1ccc(cc1)[C+](c1ccccc1)c1ccccc1,F[B-](F)(F)F.c1ccc([C+](c2ccccc2)c2ccccc2)cc1,341-02-6
